Key,Source,Translation
msg_0,"[color(yellow)]ゆきの[color(white)]
取材、お疲れさま。
舞耶さんに、手紙届いてますよ。
差出人とか、書いてないけど…
[sync][wait][clear][end]",
msg_1,"差出人とか、書いてないけど…
[end_choice][clear][end]",
msg_1_Choice1,"サンクス、ユッキー！",
msg_1_Choice2,"ありがとう。でも、誰だろう…？",
msg_2,"[color(yellow)]天野舞耶（あまのまや）[color(white)]
[color(green)]キスメット出版の高校生向け情報誌、
「クーレスト」編集部に在籍する女性編集者。
今回の主人公。
[color(white)]
[sync][wait][clear][end]",
msg_3,"[color(yellow)]天野舞耶（あまのまや）[color(white)]
[color(green)]キスメット出版の高校生向け情報誌、
「クーレスト」編集部に在籍する女性編集者。
今回の主人公。
[color(white)]
[sync][wait][clear][end]",
msg_4,"[color(yellow)]手紙[color(white)]
次ハ、オ前ダ。
ＪＯＫＥＲ
[sync][wait][clear][end]",
msg_5,"[color(yellow)]舞耶[color(white)]
………？
[sync][wait][clear][end]",
msg_6,"[color(yellow)]新人[color(white)]
天野先輩、編集長が呼んでますよ。
[sync][wait][clear][end]",
msg_7,"[color(yellow)]新人[color(white)]
いっつも面倒な仕事ばっか押しつけられて、
先輩も大変すね…
[sync][wait][clear][end]",
msg_8,"[color(yellow)]新人[color(white)]
あくせく働いても、大していい事あるわけじゃなし
やっぱ夢と現実って、こんなもんなんすかね…
はぁ…会社辞めよかなぁ…
[sync][wait][clear][end]",
