Key,Source,Translation
msg_0,"[color(yellow)]ゆきの[color(white)]
舞耶さん、芹沢さんって人から電話ありましたよ。
受付に迎えに来るって言ってたけど…
来たら内線あるんじゃないかな？
[sync][wait][clear][end]",
msg_1,"[color(yellow)]黛ゆきの（まゆずみゆきの）[color(white)]
[color(green)]舞耶の相棒だったカメラマン（見習い）。
本来はキスメット出版の社員ではなく、
関係者の藤井が雇うバイト助手。[color(white)]
[sync][wait][clear][end]",
msg_2,"[color(yellow)]ゆきの[color(white)]
そう言えば、お見合いパーティ行くんでしたっけ？
アタシら、土日もへったくれもないからねぇ…
たまには、思い切り羽伸ばしてくるといいよ。
[sync][wait][clear][end]",
msg_3,"[color(yellow)]ゆきの[color(white)]
え？仕事で半休取り消しにされたって！？
そんな横暴なことあるもんか！
アタシが文句言ってやるよ！！
[sync][wait][clear][end]",
msg_4,"アタシが文句言ってやるよ！！
[end_choice][clear][end]",
msg_4_Choice1,"ありがとうユッキー、私なら大丈夫だから…",
msg_4_Choice2,"レッツ・ポジティブシンキング！へっちゃらよ",
msg_5,"[color(yellow)]ゆきの[color(white)]
アタシとのコンビも解消なんて、
なんて見え透いた嫌がらせだい…
負けちゃダメだよ、舞耶さん！
[sync][wait][clear][end]",
msg_6,"[color(yellow)]ゆきの[color(white)]
そうだ。セブンスへの取材なら、
アタシの恩師がいるから連絡しておいてあげるよ。
黛の紹介って言えば、悪いようにはしないさ。
[sync][wait][clear][end]",
msg_7,"[color(yellow)]藤井[color(white)]
やれやれ…水野女史にも困ったもんだな。
ユッキーと一緒じゃないと君も寂しいだろうが、
これも給料分さ。頑張れよ、マッキー。
[sync][wait][clear][end]",
msg_8,"[color(yellow)]藤井俊介（ふじいしゅんすけ）[color(white)]
[color(green)]クーレストの依頼で出入りするフリーカメラマン。
ゆきのが敬愛する雇い主でもある。
ゆきのをユッキー、舞耶をマッキーと呼ぶ。[color(white)]
[sync][wait][clear][end]",
msg_9,"[color(yellow)]藤井[color(white)]
やれやれ…水野女史にも困ったもんだな。
ユッキーと一緒じゃないと君も寂しいだろうが、
これも給料分さ。頑張れよ、マッキー。
[sync][wait][clear][end]",
msg_10,"[color(yellow)]新人[color(white)]
先輩、俺、聞いちゃったんすよ…
田崎先輩と編集長が、天野は生意気だから、
一人でＪＯＫＥＲの取材させようって話してるの。
[sync][wait][clear][end]",
msg_11,"[color(yellow)]新人[color(white)]
そしたら、怖がって大人しくなるだろうって…
こんな会社、やっぱ辞めよかな…
仕事は大変なだけだし…
[sync][wait][clear][end]",
msg_12,"[color(yellow)]同期社員[color(white)]
世紀末だグランドクロスだって騒いだって、
今年の夏は、結局何もなかったね…
盛り上げた分、抗議してくる読者がうるさくてさ。
[sync][wait][clear][end]",
msg_13,"[color(yellow)]同期社員[color(white)]
ワンロン占いの読者投稿まとめるの、手伝ってよ。
良く当たるってブレイクしちゃったから、
投稿もハンパじゃないのよねぇ…
[sync][wait][clear][end]",
msg_14,"[color(yellow)]同期社員[color(white)]
ほら、ケータイとかでも配信されて、
守護龍がどうのって、女子高生とかＯＬとかが
騒いでるでしょ？
[sync][wait][clear][end]",
msg_15,"[color(yellow)]同期社員[color(white)]
元々は、「望龍術」っていう風水の秘術を
分かりやすくしたものらしいんだけど、
これが本当によく当たるのよ。
[sync][wait][clear][end]",
msg_16,"[color(yellow)]同期社員[color(white)]
望龍術はね、運命を支配する天帝が地上に遣わした
１２匹の龍の動きを、星の動きから予測して国運を
占う呪術なの。
[sync][wait][clear][end]",
msg_17,"[color(yellow)]同期社員[color(white)]
龍って言ったって、地脈みたいなものなんだけど、
人が良いことすれば恵みをくれるし、悪いことを
すれば天変地異とかの災厄をもたらすんですって。
[sync][wait][clear][end]",
msg_18,"[color(yellow)]同期社員[color(white)]
まぁ、誰も運命には逆らえないってことかな。
[sync][wait][clear][end]",
msg_19,"[color(yellow)]先輩社員[color(white)]
天野は確か、７月生まれだったよな？
てことは光龍か…俺が２月生まれの青龍だから…
あんま相性良くないのか…残念。
[sync][wait][clear][end]",
msg_20,"[color(yellow)]田崎[color(white)]
天野さん、ＪＯＫＥＲの噂取材するんでしょ？
つい昨日も、食い散らかされたみたいな
死体が見つかったっていうし…
[sync][wait][clear][end]",
msg_21,"[color(yellow)]田崎[color(white)]
怖いわよねぇ～
ＪＯＫＥＲは悪魔使いだって噂本当だったりして…
あなたの身に、何もなきゃいいけど。
[sync][wait][clear][end]",
msg_22,"[color(yellow)]田崎[color(white)]
天野さん、ＪＯＫＥＲの噂取材するんでしょ？
つい昨日も、食い散らかされたみたいな
死体が見つかったっていうし…
[sync][wait][clear][end]",
msg_23,"[color(yellow)]田崎[color(white)]
怖いわよねぇ～
ＪＯＫＥＲは悪魔使いだって噂本当だったりして…
あなたの身に、何もなきゃいいけど。
[sync][wait][clear][end]",
msg_24,"[color(yellow)]先輩社員[color(white)]
猟奇殺人の被害者、もう二桁になっちまったなぁ。
ったく警察は何してんだか…
[sync][wait][clear][end]",
msg_25,"[color(yellow)]先輩社員[color(white)]
記者クラブに俺の先輩がいてな、
警察は未だに犯人の目星もつけられんらしいよ。
色々噂が立っちまうのも、無理ないわな。
[sync][wait][clear][end]",
msg_26,"[color(yellow)]先輩社員[color(white)]
猟奇殺人の被害者、もう二桁になっちまったなぁ。
ったく警察は何してんだか…
[sync][wait][clear][end]",
msg_27,"[color(yellow)]先輩社員[color(white)]
記者クラブに俺の先輩がいてな、
警察は未だに犯人の目星もつけられんらしいよ。
色々噂が立っちまうのも、無理ないわな。
[sync][wait][clear][end]",
msg_28,"[color(yellow)]先輩社員[color(white)]
例の地下鉄工事で、また遺跡が見つかったらしい。
やっぱこの街の下にゃ、何かあるのかね？
く～俺も社会部行きてぇなぁ。
[sync][wait][clear][end]",
msg_29,"[color(yellow)]先輩社員[color(white)]
例の地下鉄工事で、また遺跡が見つかったらしい。
やっぱこの街の下にゃ、何かあるのかね？
く～俺も社会部行きてぇなぁ。
[sync][wait][clear][end]",
msg_30,"[color(yellow)]ゆきの[color(white)]
舞耶さん、今さっき内線あったよ。
芹沢さん、受付に来てるって。
[sync][wait][clear][end]",
msg_31,"[color(yellow)]ゆきの[color(white)]
舞耶さん、まだ内線無いし、
もう少しゆっくりしててもいいんじゃないかい？
[sync][wait][clear][end]",
msg_32,"[color(yellow)]非常階段[color(green)]
ここには入れない。[color(white)]
[sync][wait][clear][end]",
msg_33,"[color(yellow)]田崎[color(white)]
天野さん、ＪＯＫＥＲの噂取材するんでしょ？
つい昨日も、食い散らかされたみたいな
死体が見つかったっていうし…
[sync][wait][clear][end]",
msg_34,"[color(yellow)]田崎[color(white)]
怖いわよねぇ～
ＪＯＫＥＲは悪魔使いだって噂本当だったりして…
あなたの身に、何もなきゃいいけど。
[sync][wait][clear][end]",
msg_35,"[color(yellow)]先輩社員[color(white)]
猟奇殺人の被害者、もう二桁になっちまったなぁ。
ったく警察は何してんだか…
[sync][wait][clear][end]",
msg_36,"[color(yellow)]先輩社員[color(white)]
記者クラブに俺の先輩がいてな、
警察は未だに犯人の目星もつけられんらしいよ。
色々噂が立っちまうのも、無理ないわな。
[sync][wait][clear][end]",
msg_37,"[color(yellow)]先輩社員[color(white)]
例の地下鉄工事で、また遺跡が見つかったらしい。
やっぱこの街の下にゃ、何かあるのかね？
く～俺も社会部行きてぇなぁ。
[sync][wait][clear][end]",
